,title,casts,description
0,狱中龙,"刘德华,何家劲,黎姿,程东,龙方,黄锦燊,韩坤,何家驹",简介：富家子弟张荣日（何家劲 饰）因冲动犯事儿进入劳役中心服刑，他老实内向，对道上规矩更是一窍不通，因此饱受虾毛等人欺负，在此期间他结识了颇讲义气的阿豪（刘德华 饰）...详情
1,速度与激情6,"范·迪塞尔,保罗·沃克,道恩·强森,乔丹娜·布鲁斯特",简介：俄罗斯莫斯科闹市中央，执行押送任务的军方部队遭到一伙训练有素的匪徒袭击，大战过后的现场惨不忍睹，重要的卫星元件遭到劫持。国际刑警霍布斯（道恩·强森 Dwayne...详情
2,奇异博士,"本尼迪克特·康伯巴奇,蒂尔达·斯文顿,麦斯·米科尔森,切瓦特·埃加福特",简介：斯特兰奇博士（本尼迪克特·康伯巴奇 Benedict Cumberbatch 饰）是一名外科手术医生，他拥有着高超的智商和精湛的技艺，是医院乃至整个医学界的传奇...详情
3,云南虫谷,"蔡珩,顾璇,于恒,成泰燊",简介：胡八一等人由于之前探险，身上出现了眼球印记，这印记带着诅咒，会危及众人性命，传闻雮尘珠能解开诅咒，而它曾经作为陪葬品安放在古滇国献王的陵墓中，胡八一等人只能深入...详情
4,金山伏魔传,"程琢,林枫烨,付赫安琪",简介：开元盛世，当朝太子病重，所有太医束手无策，就在皇帝为太子秘密寻找药方之际，一位高人诊断称太子命格极为特殊，需带“佛骨舍利”皈依佛门，可皇帝不舍太子受苦，便命与太...详情
5,摸金爵之卧龙诡阵,"侯佩杉,何其炜,李柏谊,吴春怡,郭德诚,石剑涛,李小鹏",简介：沉船老人的孙女陆小希自小身中毒蛊，多年前，沉船为了救孙女的命违背祖训去到太阿剑冢，没能为孙女取到解药反而命丧波诡云谲的卧龙诡阵。陆小希通过药养保命逐渐长大，却挡...详情
6,四平风云,"张浩,言杰,董政",简介：‘套娃计划’卧底李虎成，带黑帮份子运输一批特殊的制毒原料，半路发生意外，全部牺牲，张浩接替他的身份成为新卧底。禁毒警周勋截杀毒品失败趁机以警察身份卧底贩毒组织，...详情
7,换灵卧底,"姚震宇,徐超,刘冠成,常冶凝,郗达,宋奇璐,王嘉豪,徐振,李俊颉,徐荣花,刘建文,安宁,韩美轩",简介：韩麦琦有一个混混男朋友李朴，整日花天酒地，游手好闲，伤透了她的心。韩麦琦失魂落魄的走在无人的街道上，望着远处的咖啡馆，她走了过去，一场奇妙之旅也即将打开。韩麦琦...详情
8,破·局,"郭富城,王千源,刘涛,余皑磊,冯嘉怡,郑凯",简介：这是高见翔警官生命中最艰难的一天：母亲去世，工作遇阻，还在奔丧时意外撞死了一个人他本以为可以瞒天过海，没想到一个惊天阴谋在前方等待，令他身陷迷局.........详情
9,唐人街探案3,"王宝强,刘昊然,妻夫木聪,托尼·贾,长泽雅美,张子枫,铃木保奈美,染谷将太,浅野忠信,三浦友和,尚语贤,肖央,邱泽,张钧甯,马伯骞,程潇",简介：继曼谷、纽约之后，东京再出大案。唐人街神探唐仁（王宝强饰）、秦风（刘昊然饰）受侦探野田昊（妻夫木聪饰）的邀请前往破案。“CRIMASTER世界侦探排行榜”中的侦...详情
10,雪豹之虎啸军魂,"文章,乔鹏樾,冯越,吴承轩,杜玉明,赵家林,刘广楠,林雪松,张政勇",简介：1944年，周卫国（文章饰）秘密调遣雪豹特战队成员徐虎（乔鹏樾饰）前往上海日军警备司令部，营救已暴露身份被捕的苏联红军情报员田冲（吴承轩饰）。获救的田冲带来关东...详情
11,无双,"周润发,郭富城,张静初,冯文娟",简介：《无双》讲述了以代号“画家”（周润发 饰）为首的犯罪团伙，掌握了制造伪钞技术，难辨真伪，并在全球进行交易获取利益，引起警方高度重视。然而“画家”和其他成员的身份...详情
12,最强学渣,"杜浩丰,陶俊竹,张佳帅",简介：复读三年的学渣张天赐无意中发现了一伙雇佣军埋藏的神秘原料。由于神秘原料辐射导致张天赐拥有了吃掉书本就能熟练应用书中内容的能力，于是张天赐一下从一个后进生变成了校...详情
13,叶问3,"甄子丹,迈克·泰森,张晋,熊黛林,谭耀文,吴千语,喻亢,郑则仕,梁家仁,张继聪,陈国坤,刘以达,宗菲,曹操,王实,崔璨,刘艺菲",简介：已在香港立足开馆的叶问（甄子丹 饰）与太太张永成（熊黛林 饰）平静地生活，不料小儿子叶正就读的小学发生了流氓滋扰事件，参与闹事的正是田傲山（梁家仁 饰）昔日的徒...详情
14,机械师2：复活,"杰森·斯坦森,杰西卡·阿尔芭,汤米·李·琼斯,杨紫琼,山姆·哈兹尔丁,约翰·塞纳迭姆博,托比·艾丁顿,Femi,Elufowoju,Jr.",简介：系列电影《机械师》第一部中，假装死亡的顶级杀手亚瑟（杰森·斯坦森饰）金盆洗手，过着普通人平静的生活。在一桩看似意外的事件中，亚瑟的红颜知己梅（杨紫琼饰）请求亚瑟...详情
15,缉魂,"张震,张钧甯,孙安可,李铭顺,张柏嘉",简介：著名集团董事长王世聪惨死家中，负责此案的检察官梁文超与妻子刑警阿爆在调查中得知；死者的儿子王天佑，年轻的新婚妻子李燕，多年合伙人万宇凡，甚至死去的前妻唐素贞，每...详情
16,人潮汹涌,"刘德华,肖央,万茜,程怡",简介：讲述了冷血杀手周全（刘德华 饰）和落魄龙套陈小萌（肖央 饰），在一次意外中交换了彼此的身份，从而引出一系列阴差阳错的幽默故事。...详情
17,刺杀小说家,"雷佳音,杨幂,董子健,于和伟,郭京飞,佟丽娅,董洁,王圣迪,杨轶",简介：异世界皇都，天神赤发鬼残暴统治，滥杀无辜。少年空文因被赤发鬼追杀，决定奋起反击。在黑甲的指引下，踏上了凡人弑神之路　　这是小说家路空文笔下的奇幻世界。没想到小说...详情
18,速度与激情,"保罗·沃克,泰瑞斯·吉布森,伊娃·门德斯,科尔·豪瑟",简介：迈阿密狡猾的商人卡特（科尔?豪瑟 Cole Hauser 饰）利用自己的贸易公司左幌子，暗中进行着国际洗钱活动。虽然FBI对他监视已久，但是卡特平日十分小心谨慎...详情
19,尖峰时刻2,"成龙,克里斯·塔克,尊龙,章子怡,罗塞莉·桑切斯,李美琪,曾江",简介：李督察（成龙 饰）和从洛杉矶赶来香港度假的老搭档詹姆斯•卡特（克里斯•塔克 Chris Tucker 饰）真是一刻不得闲，因美国领事馆遭到炸弹袭击，两名工作人员...详情
20,神探蒲松龄,"成龙,阮经天,钟楚曦,林柏宏",简介：一代文豪蒲松龄（成龙饰）执阴阳判化身神探，与捕快严飞（林柏宏饰）联手追踪金华镇少女失踪案。蒲松龄带领“猪狮虎”“屁屁”“忘忧”“千手”等一众小妖深入案情，在找寻...详情
21,速度与激情5,"范·迪塞尔,保罗·沃克,道恩·强森,乔丹娜·布鲁斯特",简介：蛰伏2年之后，多米尼克（范•迪塞尔 Vin Diesel饰）与布莱恩（保罗•沃克 Paul Walker 饰）再度联手把火车中的神秘豪车盗走，遭到了警察和黑帮分...详情
22,狄仁杰之通天帝国,"刘德华,刘嘉玲,李冰冰,梁家辉",简介：https://site.douban.com/108331/ 狄仁杰之通天帝国豆瓣小站武则天（刘嘉玲 饰）登基之前，修建了高达三百尺的通天浮屠。竣工之前，却先...详情
23,速度与激情7,"范·迪塞尔,保罗·沃克,杰森·斯坦森,米歇尔·罗德里格兹,乔丹娜·布鲁斯特,泰瑞斯·吉布森",简介：　　经历了紧张刺激的伦敦大战，多米尼克·托雷托（范·迪塞尔 Vin Diesel 饰）和他的伙伴们重新回归平静的生活，但是江湖的恩恩怨怨却决不允许他们轻易抽身而...详情
24,寒战2,"郭富城,梁家辉,杨采妮",简介：　　冲锋车案件主谋李家俊（彭于晏 饰）设计逃脱警方控制，与幕后黑手汇合，联手策划更大阴谋。而现警务处长刘杰辉（郭富城 饰），前警务副处长李文彬（梁家辉 饰），和...详情
25,速度与激情：特别行动,"道恩·强森,杰森·斯坦森,伊德里斯·艾尔巴,艾莎·冈萨雷斯,凡妮莎·柯比,埃迪·马森,罗曼·雷恩斯,斯蒂芬妮·沃格特,维克托里娅·菲斯,康兰·卡萨尔,海伦娜·福尔摩斯,伯纳多·桑托斯,露丝·霍洛克斯,大卫·穆梅尼,马诺伊·阿南德,阿玛尔·阿达蒂亚,朱利安·费罗,丹尼尔·厄根,拉普洛斯·卡伦福佐斯,阿克塞尔·努,史蒂夫·莱温顿,安东尼奥·曼奇诺,斯特拉·斯托克尔,基努·里维斯",简介：一个是美国外交安全局的忠诚特工、身材魁梧的执法者霍布斯（强森饰），一个是前英国军事特工精英、无法无天的恶棍肖（斯坦森饰）。在2015年的《速度与激情7》中首次对...详情
26,王牌保镖,"瑞恩·雷诺兹,塞缪尔·杰克逊,艾洛蒂·袁,萨尔玛·海耶克,加里·奥德曼,克里斯蒂·米切尔,约瑟芬·德·拉·波美,乔昆姆·德·阿尔梅达",简介：　　影片围绕一个世界头号保镖(雷诺兹饰)与他的职业杀手雇主(杰克逊饰)亡命天涯的故事展开。...详情
27,侠盗联盟,"刘德华,舒淇,张静初,杨祐宁,让·雷诺,曾志伟,沙溢,游天翼",简介：江洋大盗张丹（刘德华 饰）在一次行动中遭遇黑吃黑，失手被擒入狱。三年后，出狱的张丹会合老搭档小宝（杨祐宁 饰），与新入伙的叶红（舒淇 饰）联手，在追捕自己多年的...详情
